PID	Status	Label
-	0	com.apple.storedownloadd.daemon
412	0	com.apple.CoreAuthentication.daemon
97	0	com.cisco.anyconnect.vpnagentd
172	0	com.apple.coreservicesd
362	0	com.apple.touchbarserver
9615	-9	com.apple.deleted_helper
-	0	com.apple.avbdeviced
102	0	org.pqrs.karabiner.karabiner_grabber
365	0	com.apple.cvmsServ
-	0	com.apple.FontWorker
-	-9	com.apple.applessdstatistics
2582	0	com.apple.hdiejectd
-	0	com.apple.corestorage.corestoraged
-	0	com.apple.storagekitd
-	-9	com.apple.EmbeddedOSInstallService
-	0	com.apple.storereceiptinstaller
-	-9	com.apple.mobileactivationd
112	0	com.avira.helper.watchdox
-	-9	com.apple.seld
121	0	com.nordvpn.osx.helper
-	0	com.apple.emond
-	0	com.apple.iconservices.iconservicesagent
-	0	com.apple.logkextloadsd
-	0	com.apple.bluetoothReporter
89	0	com.apple.syslogd
275	0	com.apple.WindowServer
-	0	com.apple.NetworkSharing
-	0	com.apple.afpfs_checkafp
-	-9	com.apple.systemstats.microstackshot_periodic
1542	0	com.apple.driverkit.AppleUserUSBHostHIDDevice0-(0x1001080f9)
137	0	com.apple.securityd
138	0	com.apple.auditd
-	0	com.apple.nesessionmanager
-	0	com.apple.var-db-dslocal-backup
9679	0	com.apple.cfnetwork.cfnetworkagent
-	0	com.apple.recoverylogd
9389	-9	com.apple.ocspd
270	0	com.apple.symptomsd
143	0	com.apple.autofsd
90	0	com.apple.UserEventAgent-System
-	0	com.apple.Kerberos.kadmind
9616	-9	com.apple.coresymbolicationd
-	0	com.apple.PerfPowerServicesExtended
-	0	com.apple.suhelperd
-	0	com.apple.commerced
-	0	com.apple.RFBEventHelper
-	0	com.apple.racoon
-	0	com.apple.bosreporter
-	0	com.apple.metadata.mds.scan
161	0	com.apple.AirPlayXPCHelper
92	0	PT.updd
98	0	com.apple.mediaremoted
-	0	com.apple.mbusertrampoline
-	0	com.apple.RemoteDesktop.PrivilegeProxy
-	0	com.apple.datastored
-	-9	com.apple.sysdiagnose
9621	-9	com.apple.installd
9622	-9	com.apple.system_installd
-	0	com.apple.dvdplayback.setregion
-	0	com.apple.SafeEjectGPUStartupDaemon
9606	-9	com.apple.nehelper
-	0	com.apple.boswatcher
110	0	com.apple.logd
8514	-9	com.apple.tccd.system
-	0	com.apple.accessoryd
-	0	com.apple.appleseed.fbahelperd
-	0	net.tunnelblick.tunnelblick.tunnelblickd
-	0	com.apple.IFCStart
-	0	com.apple.mdmclient.daemon
9637	-9	com.apple.ctkd
250	0	com.apple.icloud.searchpartyd
-	0	com.apple.fpsd.arcadeservice
-	0	com.apple.xpc.roleaccountd
266	0	com.apple.nsurlsessiond_privileged
279	0	com.apple.awdd
229	0	com.apple.contextstored
278	0	com.apple.mDNSResponderHelper.reloaded
-	0	com.apple.diagnosticextensions.osx.wifi.helper
-	-9	com.apple.periodic-monthly
-	0	com.apple.findmymacmessenger
-	0	com.adobe.ARMDC.Communicator
-	0	com.apple.security.authhost.00000000-0000-0000-0000-0000000186A6
-	-9	com.apple.secinitd
-	0	com.apple.kuncd
-	0	com.apple.corecaptured
-	0	com.apple.scsid
148	0	com.aaa.windscribe.OVPNHelper
-	0	com.apple.IOAccelMemoryInfoCollector
-	0	com.apple.nfrestore
-	0	com.apple.msrpc.lsarpc
153	0	com.apple.KernelEventAgent
-	-9	com.apple.aslmanager
-	0	com.apple.taskgated-helper
-	-9	com.apple.cmio.registerassistantservice
158	0	com.apple.hidd
-	0	com.apple.RemotePairTool
1666	0	com.apple.fpsd
292	0	com.apple.runningboardd
95	0	com.apple.kextd
-	0	com.apple.tzlinkd
373	0	com.apple.coreservices.appleevents
103	0	com.apple.systemstats.analysis
-	0	com.apple.diagnosticd
-	0	com.apple.AssetCacheTetheratorService
106	0	com.apple.powerd
220	0	com.apple.authd
-	0	com.apple.driver.ethcheck
-	0	com.apple.DumpPanic
-	0	com.apple.vsdbutil
-	0	com.apple.nfsd
232	0	com.apple.airportd
221	0	com.apple.audio.coreaudiod
-	0	com.apple.akd
116	0	com.apple.watchdogd
-	0	com.apple.pfd
-	-9	com.apple.iconservices.iconservicesd
-	0	com.apple.InstallerProgress
-	0	com.apple.nlcd
-	0	com.apple.systemkeychain
1545	0	com.apple.driverkit.AppleUserHIDEventDriver.dfrv1-(0x100108117)
1592	0	com.apple.netbiosd
-	0	com.apple.SCHelper
-	0	com.apple.softwareupdate_firstrun_tasks
-	-9	com.apple.periodic-weekly
-	0	com.apple.installer.osmessagetracing
-	-9	com.apple.nsurlstoraged
-	0	com.apple.preferences.timezone.admintool
-	0	com.apple.statd.notify
-	0	org.cups.cupsd
-	-9	com.apple.noticeboard.state
274	0	com.apple.lsd
347	0	com.apple.metadata.mds.index
135	0	com.apple.timed
136	0	com.apple.usbmuxd
-	0	com.apple.IOBluetoothUSBDFU
386	0	com.apple.biokitaggdd
1664	0	com.apple.CrashReporterSupportHelper
-	0	com.apple.DumpGPURestart
144	0	com.apple.displaypolicyd
-	0	com.apple.wifip2pd
416	0	com.apple.securityd_service
-	-9	com.apple.periodic-daily
7320	0	com.apple.PerfPowerServices
374	0	com.apple.alf
-	0	com.apple.dspluginhelperd
151	0	com.apple.logind
156	0	com.apple.bluetoothd
-	0	com.apple.msrpc.netlogon
1540	0	com.apple.driverkit.AppleUserUSBHostHIDDevice0-(0x1001080e6)
-	0	org.wireshark.ChmodBPF
-	0	com.apple.diagnosticextensions.osx.spotlight.helper
-	0	com.apple.TrustEvaluationAgent.system
-	0	com.apple.newsyslog
100	0	org.pqrs.karabiner.karabiner_observer
-	0	com.apple.MRTd
166	0	com.apple.taskgated
-	-9	com.apple.GSSCred
-	-9	com.apple.audio.systemsoundserverd
104	0	com.apple.configd
-	-9	com.apple.captiveagent
-	0	com.apple.diagnosticextensions.osx.getmobilityinfo.helper
9642	-9	com.apple.AccountPolicyHelper
-	0	com.apple.fontmover
-	-9	com.apple.audio.toolbox.reporting.service
-	0	com.apple.UserNotificationCenter
-	0	com.google.keystone.daemon
-	-9	com.apple.icloud.findmydeviced
-	0	com.apple.speech.speechsynthesisd
-	0	com.apple.AppleQEMUGuestAgent
